time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-30 00:00:00+00:00,1,1,2,1
2024-05-31 00:00:00+00:00,7,6,10,1
2024-06-03 00:00:00+00:00,8,8,28,2
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-05 00:00:00+00:00,1,1,5,1
2024-06-10 00:00:00+00:00,1,1,25,2
2024-06-11 00:00:00+00:00,2,2,4,1
2024-06-12 00:00:00+00:00,7,7,23,2
2024-06-13 00:00:00+00:00,1,1,6,1
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-15 00:00:00+00:00,1,1,0,0
2024-06-16 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,1,1,3,1
2024-06-18 00:00:00+00:00,7,6,6,1
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-20 00:00:00+00:00,1,1,3,1
2024-06-21 00:00:00+00:00,7,5,5,2
2024-06-22 00:00:00+00:00,2,1,0,0
2024-06-23 00:00:00+00:00,1,1,0,0
2024-06-25 00:00:00+00:00,6,3,3,1
2024-06-27 00:00:00+00:00,3,3,0,0
2024-06-28 00:00:00+00:00,2,1,0,0
2024-06-29 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,3,2,0,0
2024-07-02 00:00:00+00:00,0,0,1,1
2024-07-03 00:00:00+00:00,1,1,0,0
2024-07-05 00:00:00+00:00,2,1,0,0
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-08 00:00:00+00:00,3,1,0,0
2024-07-09 00:00:00+00:00,3,1,0,0
2024-07-11 00:00:00+00:00,1,1,0,0
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-14 00:00:00+00:00,3,2,0,0
2024-07-15 00:00:00+00:00,2,2,0,0
2024-07-16 00:00:00+00:00,1,1,2,1
2024-07-19 00:00:00+00:00,2,1,0,0
2024-07-21 00:00:00+00:00,2,1,0,0
2024-07-22 00:00:00+00:00,3,1,0,0
2024-07-23 00:00:00+00:00,2,1,1,1
2024-07-24 00:00:00+00:00,0,0,8,2
2024-07-25 00:00:00+00:00,4,3,14,2
2024-07-28 00:00:00+00:00,3,1,0,0
2024-07-30 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,3,3,43,3
2024-08-01 00:00:00+00:00,3,3,60,2
2024-08-02 00:00:00+00:00,7,5,13,1
2024-08-04 00:00:00+00:00,3,1,0,0
2024-08-05 00:00:00+00:00,2,2,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,2,1,0,0
2024-08-09 00:00:00+00:00,2,1,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,0,0,1,1
2024-08-15 00:00:00+00:00,3,3,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,3,3,0,0
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,0,0,2,1
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,2,1,0,0
2024-08-25 00:00:00+00:00,3,1,0,0
2024-08-28 00:00:00+00:00,3,3,13,1
2024-08-29 00:00:00+00:00,2,2,0,0
2024-08-30 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,7,7,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,3,3,0,0
2024-09-09 00:00:00+00:00,2,1,0,0
2024-09-11 00:00:00+00:00,3,3,0,0
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,2,1,0,0
2024-09-15 00:00:00+00:00,2,1,0,0
2024-09-16 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,2,2,0,0
2024-09-21 00:00:00+00:00,3,1,0,0
2024-09-23 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,1,1,0,0
2024-09-25 00:00:00+00:00,1,1,0,0
2024-09-26 00:00:00+00:00,3,3,11,2
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,1,1,3,2
2024-10-02 00:00:00+00:00,2,2,0,0
2024-10-03 00:00:00+00:00,2,1,0,0
2024-10-04 00:00:00+00:00,4,1,0,0
2024-10-06 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,2,1,0,0
2024-10-09 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,3,1,3,1
